개체1,액션1,감정1,"URL(공포,놀람,분노,슬픔,중립,행복,혐오)",,,,,,,,
"강아지,개,동물,강쥐,야근","댓글,키보드,타자,악플",,https://jjalbang.today/files/jjalbox/2016/05/20160516_5739aeddbc241.gif,,,,,,,,
"강아지,개,강쥐,동물","놀라,깜놀,깜짝",놀람,https://jjalbang.today/files/jjalbox/2015/03/89_55169e2a2db6a_1589.jpg,,,,,,,,
"소리,동물,비트코인,코인,염원","가즈아,지르",분노,https://jjalbang.today/files/jjalbox/2017/12/20171215_5a3355975954b.gif,,,,,,,,
"미어캣,기절,동물",귀엽,,https://jjalbang.today/files/jjalbox/2021/10/20211019_616ed3ed0a56c.gif,,,,,,,,
"가젤,톰슨가젤,먹방,팝콘,동물",먹,중립,https://jjalbang.today/files/jjalbox/2021/09/20210916_614374dd81f28.gif,,,,,,,,
"냥이,냥,동물,기지개","안아줘,안아주",,https://jjalbang.today/files/jjalbox/2021/06/20210625_60d58693d3df3.gif,,,,,,,,
"곰,감사,인사,은혜,동물",감사합니다,,https://jjalbang.today/files/jjalbox/2021/06/20210601_60b5b1e28ecf2.gif,,,,,,,,
"햄스터,동물","놀라,깜놀,깜짝",놀람,https://jjalbang.today/files/jjalbox/2020/09/20200923_5f6b3b53838b6.gif,,,,,,,,
"물개,미소,웃음,동물",,행복,https://jjalbang.today/files/jjalbox/2015/03/86_55169d2253501_1119.jpg,,,,,,,,
"싸대기,뺨,귀,곰,반달곰,동물",닥치,분노,https://jjalbang.today/files/jjalbox/2021/07/20210715_60effbcad184d.gif,,,,,,,,
"손톱,정리,네일,샵",해줘,,https://jjalbang.today/files/jjalbox/2016/07/20160714_57876ebc3ee2a.gif,,,,,,,,
"고양이,냥이,냥,동물,하이파이브,묘기",귀엽,,https://jjalbang.today/files/jjalbox/2016/08/20160802_57a06357a903b.gif,,,,,,,,
"캥거루,동물,깡패,근육",죽,,https://jjalbang.today/files/jjalbox/2017/12/20171212_5a2ea66057453.gif,,,,,,,,
"싸움,쌈,아기,고양이,냥이,냥,동물,장난,놀이","귀여움,귀엽",,https://jjalbang.today/files/jjalbox/2016/07/20160731_579dd7e05afce.gif,,,,,,,,
"미어캣,거짓말,동물,다큐","속았다,속았습니다,속",,https://jjalbang.today/files/jjalbox/2020/09/20200919_5f658abcc957c.jpg,,,,,,,,
"사자,동물,쇼핑",,,https://jjalbang.today/files/jjalbox/2020/11/20201101_5f9e5c6172394.jpg,,,,,,,,
"사진,동물,개,강아지,강쥐,표정",웃,,https://jjalbang.today/files/jjalbox/2016/08/20160802_57a0634b7aef3.gif,,,,,,,,
"애교,고양이,냥이,냥,동물","팔짝,방방,뛰",,https://jjalbang.today/files/jjalbox/2016/08/20160811_57abb8f7b0dad.gif,,,,,,,,
"개,강아지,동물,좌절","시무룩,무룩",,https://jjalbang.today/files/jjalbox/2018/01/20180103_5a4c9fbfa8290.gif,,,,,,,,
"얼굴,원숭이,동물","놀라,깜놀,깜짝",놀람,https://jjalbang.today/files/jjalbox/2015/11/20151122_5650a88bc2f2a.gif,,,,,,,,
"강아지,개냥이,개,강쥐,동물",따라하,,https://jjalbang.today/files/jjalbox/2018/01/20180107_5a511792f0b76.gif,,,,,,,,
"강아지,개,강쥐,심쿵","뭐,무엇,궁금,갸우뚱,귀엽",,https://jjalbang.today/files/jjalbox/2016/07/20160718_578c8401b99e4.gif,,,,,,,,
"카톡,카카오톡,캐릭터,이모티콘,칭찬,특급",,,https://jjalbang.today/files/jjalbox/2015/03/101_5516a03228c40_2113.jpg,,,,,,,,
"카톡,카카오톡,캐릭터,이모티콘,새해,복,주머니","많이,받",,https://jjalbang.today/files/jjalbox/2016/08/20160823_57bbf476bb801.jpeg,,,,,,,,
"굿,엄지,캐릭터,칭찬",좋,,https://jjalbang.today/files/jjalbox/2016/08/20160825_57be072965b8e.gif,,,,,,,,
"피곤,계란,귀차니즘,캐릭터","귀찮,심심,빈둥",,https://jjalbang.today/files/jjalbox/2019/01/20190123_5c4825459b52c.gif,,,,,,,,
"경찰,포돌이,신고,캐릭터,철컹,수갑,범죄","철컹,잡,요놈,잡혀가",,https://jjalbang.today/files/jjalbox/2015/03/99_55169a5d956a1_2883.jpg,,,,,,,,
"경찰,포돌이,신고,캐릭터,철컹,수갑,범죄","철컹,잡,요놈,잡혀가",,https://jjalbang.today/files/jjalbox/2015/03/99_55169fe48d803_2026.jpg,,,,,,,,
"경찰,포돌이,신고,캐릭터,철컹,수갑,범죄","철컹,잡,요놈,잡혀가",,https://jjalbang.today/files/jjalbox/2016/07/20160714_57876f6560437.gif,,,,,,,,
"스폰지밥,스펀지밥,캐릭터,만화,뚱이","황당,멀뚱멀뚱",,https://jjalbang.today/files/jjalbox/2015/03/87_55169d414ba0a_2651.gif,,,,,,,,
"스폰지밥,스펀지밥,캐릭터,만화,뚱이,웃음","웃기,좋",행복,https://jjalbang.today/files/jjalbox/2016/08/20160830_57c52d1d497e4.gif,,,,,,,,
"스폰지밥,스펀지밥,좌절,멘붕,거품,게거품,눈물,캐릭터",,,https://jjalbang.today/files/jjalbox/2016/08/20160818_57b598d0c4b68.gif,,,,,,,,
"스폰지밥,스펀지밥,오열,눈물,캐릭터",슬프,슬픔,https://jjalbang.today/files/jjalbox/2016/08/20160826_57c01ea170369.gif,,,,,,,,
"에비츄,캐릭터,햄스터,귀여워,웃음","귀엽,좋",행복,https://jjalbang.today/files/jjalbox/2016/09/20160902_57c952bc6adf2.gif,,,,,,,,
"웹툰,만화,정렬맨","안돼,제발",,https://jjalbang.today/files/jjalbox/2015/04/20150411_5529264a33b9d.jpg,,,,,,,,
"칭찬,슬램덩크,황태산",,,https://jjalbang.today/files/jjalbox/2015/03/101_55169b33523e4_2850.jpg,,,,,,,,
"지름신,지름,쇼핑,집착",가지,,https://jjalbang.today/files/jjalbox/2019/04/20190402_5ca2c19d08626.jpg,,,,,,,,
"남자라면,결심,다짐,만화",,,https://jjalbang.today/files/jjalbox/2016/08/20160830_57c5446993f37.jpg,,,,,,,,
"짱구,장면,만화,캐릭터","깜놀,놀라",놀람,https://jjalbang.today/files/jjalbox/2015/03/89_55169e2192d72_1608.jpg,,,,,,,,
"손가락,욕,뻐큐,박규,뻑큐,만화",,,https://jjalbang.today/files/jjalbox/2018/06/20180618_5b27c4507c02f.png,,,,,,,,
"짱구,캐릭터,만화,사랑,하트,사랑해요",,행복,https://jjalbang.today/files/jjalbox/2019/01/20190117_5c3f5750db29c.jpg,,,,,,,,
"배신,분노,배신감",속,,https://jjalbang.today/files/jjalbox/2016/08/20160821_57b95fc4f354d.jpg,,,,,,,,
"변태,신고",,,https://jjalbang.today/files/jjalbox/2016/08/20160816_57b301f9e298d.jpg,,,,,,,,
"동료,원피스,루피,만화,캐릭터",되라,,https://jjalbang.today/files/jjalbox/2015/04/20150406_5521e99202bae.jpg,,,,,,,,
"그만,이해","닥치,뭐",,https://jjalbang.today/files/jjalbox/2015/03/90_55169c2035916_2683.jpg,,,,,,,,
"알람,시계,침대,피곤,만화,애니","졸리,귀엽,자",,https://jjalbang.today/files/jjalbox/2016/07/20160714_578770bdf071e.gif,,,,,,,,
"짱구,여름,물놀이,19,19금","발그레,야한",,https://jjalbang.today/files/jjalbox/2018/09/20180905_5b8eb5b60cf0a.gif,,,,,,,,
"이유,폭력,한대","없이,패,맞,치,퍽퍽",,https://jjalbang.today/files/jjalbox/2017/12/20171212_5a2ea5a1065ed.jpg,,,,,,,,
"미생,일,회사,오과장","일해,일하자",,https://jjalbang.today/files/jjalbox/2015/03/90_55169e7480f52_2662.jpg,,,,,,,,
"오덕,덕후,계획",,,https://jjalbang.today/files/jjalbox/2015/03/105_55169a26d8de9_2911.jpg,,,,,,,,
"한껏,기대,실망,만화,애니",,,https://jjalbang.today/files/jjalbox/2017/02/20170209_589bfd2de1060.jpg,,,,,,,,
"속임수,분노,사기,데스노트,만화",당하,,https://jjalbang.today/files/jjalbox/2015/03/89_55169b9671422_2779.jpg,,,,,,,,
"죽빵,폭력,배달,만화","맞,때리",,https://jjalbang.today/files/jjalbox/2017/12/20171212_5a2ea54e13695.jpg,,,,,,,,
"완벽,논리,만화",,,https://jjalbang.today/files/jjalbox/2019/04/20190411_5caeb07ce754e.png,,,,,,,,
"멘붕,좌절,멘탈,붕괴,만화,웹툰",,,https://jjalbang.today/files/jjalbox/2015/04/20150401_551badd2bb318.jpeg,,,,,,,,
"짱구,짱아,분노,만화,애니","화나,",분노,https://jjalbang.today/files/jjalbox/2016/09/20160901_57c79780ea49f.jpg,,,,,,,,
"귀귀,만화","함께,같이,기다리,좋",,https://jjalbang.today/files/jjalbox/2017/01/20170124_5886e8ef99bb2.jpg,,,,,,,,
"넌내꺼야,포켓몬,포켓볼",,,https://jjalbang.today/files/jjalbox/2015/04/20150418_55321858c7776.jpg,,,,,,,,
"생파,생일,파티,생명,파괴,줄임말",,,https://jjalbang.today/files/jjalbox/2016/08/20160823_57bc04718db2f.jpg,,,,,,,,
"안돼,하느님,귀귀","그만,제발",,https://jjalbang.today/files/jjalbox/2015/04/20150430_554228c5d6960.jpg,,,,,,,,
"고추,소중이","안되겠군,뒤적뒤적,꺼내",,https://jjalbang.today/files/jjalbox/2017/12/20171225_5a3fccaeb69b3.jpg,,,,,,,,
"고백,애인,폭력,주먹",오늘,,https://jjalbang.today/files/jjalbox/2015/05/20150511_55504ddf06dae.jpg,,,,,,,,
"눈빛,짱구,만화,캐릭터","초롱초롱,간절",,https://jjalbang.today/files/jjalbox/2016/09/20160901_57c79d42cb647.gif,,,,,,,,
"자자,시간,침대,이불,짱구,만화,캐릭터","자라,잠들",,https://jjalbang.today/files/jjalbox/2017/08/20170823_599d19c022992.gif,,,,,,,,
"양심,조석,개념",,,https://jjalbang.today/files/jjalbox/2015/03/90_55169b7d9de78_2791.jpg,,,,,,,,
"레바,썸,머리채,캐릭터",때리,,https://jjalbang.today/files/jjalbox/2015/05/20150511_55504df05c3b6.jpg,,,,,,,,
"싸대기,싸다구,뺨,이년",때리,,https://jjalbang.today/files/jjalbox/2015/04/20150423_5538b143f2e9b.gif,,,,,,,,
"권투,싸움,쌈","귀엽,슉슉",,https://jjalbang.today/files/jjalbox/2016/07/20160724_5794b4ededac9.gif,,,,,,,,
"설득력,설득,만화",엄청나,,https://jjalbang.today/files/jjalbox/2015/03/89_55169e1501c08_1624.jpg,,,,,,,,
"밥,음식,아침,짱구,만화,애니,캐릭터","우물우물,먹",,https://jjalbang.today/files/jjalbox/2018/09/20180905_5b8eb5e4d2316.gif,,,,,,,,
"만화,애니,단체,모습",놀라,,https://jjalbang.today/files/jjalbox/2015/03/89_55169e20ad5b7_1612.jpg,,,,,,,,
"친구,변명",그냥,,https://jjalbang.today/files/jjalbox/2018/01/20180105_5a4f34b63fd42.jpg,,,,,,,,
"이상,설명,생략,만화","더,자세",,https://jjalbang.today/files/jjalbox/2015/04/20150406_5521e7b5be9ac.jpg,,,,,,,,
"전쟁,원피스,샹크스","끝내,오",,https://jjalbang.today/files/jjalbox/2016/07/20160724_5794b507c827f.jpg,,,,,,,,
"쓰레기,좌절",나,,https://jjalbang.today/files/jjalbox/2017/12/20171219_5a37f6fd63f7e.jpg,,,,,,,,
"ㄵ,ㄴㅈ,노잼,재미없,ㅡㅡ",재미없다,,https://jjalbang.today/files/jjalbox/2018/08/20180829_5b857ec4419e8.jpg,,,,,,,,
"아침,이불,침대","뒹굴,딩굴,딩굴딩굴,일어나,싫",,https://jjalbang.today/files/jjalbox/2018/01/20180103_5a4c3ac769092.gif,,,,,,,,
